participant_id,transcript_id,contradiction_type,severity,quote_a_tag,quote_a,quote_b_tag,quote_b,explanation
1,en_participant_0001,Direct,Low,Ecological Avoidance Vacation,"I know it could save me time, but again, for the reasons I mentioned, I prefer not to do it.",Self-Sufficient Alternative Finding,I always have a solution. I haven't had a situation where I needed it excessively. I always manage to do as before and find an alternative solution to meet my needs.,"In one breath the participant acknowledges AI would save them time, and in another claims they have never had a situation where they needed it excessively — these sentiments sit in mild tension."
1,en_participant_0001,Rationalisation,Medium,Self-Sufficient Alternative Finding,I always have a solution. I haven't had a situation where I needed it excessively. I always manage to do as before and find an alternative solution to meet my needs.,,,The repeated insistence on always managing without AI and never needing it reads as performative self-sufficiency — convincing themselves rather than simply describing their behaviour.
10,en_participant_0010,Loyalty gap,Medium,Moderate Trust In AI,3 - Moderate trust,Email Information Filtering,"the most amazing AI personal assistant would be in my inbox helping me to filter information. It would distinguish between what I really need to know and what is nice to know, identifying jobs to be done, key dates, and anything related to financials all in one place, including the last possible date I need to pay something.","The participant explicitly rates their trust in AI as only moderate (3), yet describes an expansive vision of AI with deep access to their inbox, finances, and personal scheduling — a level of integration that implies far greater trust than stated."
10,en_participant_0010,Confidence erosion,Medium,Need For Human Context,"I felt okay about being interviewed by a person that's not a human, but I also know who the study is being run by, which probably isn't a true reflection of how I would feel if I were receiving this from nobody. Even if it's coming from AI, I know that there is always a person behind the study.",Humanization Of AI Interface,Perhaps a small video introduction from that person first or some kind of human interaction would be good.,"The participant says they felt okay with AI interviewing, then qualifies that comfort by requiring visible human framing and interaction, weakening the initial confidence."
11,en_participant_0011,Rationalisation,Medium,AI Complexity Recognition,"Perhaps the task is too complex for AI to create from scratch, and I probably should have set the context more clearly.",,,"After failing to build an AI agent with Retool, the participant immediately deflects blame from AI onto themselves and task complexity, offering unprompted justification rather than a neutral description of what happened."
12,en_participant_0012,Loyalty gap,Medium,Competitive Restrictions Acceptance,"These days, there are certain competitions or projects that come my way where I’m instructed not to use AI. Even though I still use it for inspiration and reference, I will not use it directly.",Restriction Constraint Pragmatism,"Apparently, any and all. But what can you do?","The participant acknowledges the restriction covers any and all AI use, yet in the same breath reveals they continue using it for inspiration and reference, dismissing the rule with a shrug rather than complying with it."
12,en_participant_0012,Rationalisation,Low,Restriction Constraint Pragmatism,"Apparently, any and all. But what can you do?",,,The casual dismissal of a rule they are actively breaking reads as unprompted self-justification rather than genuine description of a constraint.
13,en_participant_0013,Confidence erosion,Low,Educational Curiosity,"I very often ask AI about interesting facts about the world or various issues for which I do not yet know the answers. AI explains all issues very well and in detail, also talks about various things, so it is a very interesting tool for everyday use, of course with caution.",Cautious Optimism About AI,"I hope it doesn't go in the wrong direction, that someday robots will rule us, but at the moment I think it's a cool, useful, and helpful tool if you don't use it all the time.","The participant recommends AI for everyday use but immediately qualifies this with caution, and later pulls back further by stipulating it should not be used all the time, eroding their initial endorsement."
13,en_participant_0013,Rationalisation,Medium,Human Dishonesty And Betrayal,"Yes, people are false. Face to face they tell you different things, and behind your back they can stab you in the back. Unfortunately, people can't be honest. They can't say straight out what's on their mind. They prefer to gossip rather than just be people.",,,"The sweeping condemnation of all human honesty reads as unprompted justification for preferring AI as a conversational partner, convincing themselves that AI is superior rather than simply describing a preference."
13,en_participant_0013,Direct,High,Loneliness And Digital Disconnection,"Many people are lonely these days because technology has unfortunately developed in such a way that it's easier for us to write a message than to meet someone face to face, live, for coffee, for a walk, for anything.",Human Dishonesty And Betrayal,"Yes, people are false. Face to face they tell you different things, and behind your back they can stab you in the back. Unfortunately, people can't be honest. They can't say straight out what's on their mind. They prefer to gossip rather than just be people.","The participant blames technology for destroying face-to-face human connection, yet in the same interview actively dismisses human interaction as dishonest and untrustworthy, undermining the premise that real-world connection is worth preserving."
13,en_participant_0013,Loyalty gap,Medium,Nostalgia For Community Play,"I think it should go back to how it used to be, when children were in the yard, everyone played together. Now, these days, you don't see children playing football in the yard as often as they used to, jumping rope, just living together as a community, playing together and just living.",AI Willingness To Engage,"I had the impression that AI is more willing to talk, more factual and specific. I won't even mention the knowledge, the conversation was smooth. As I say, factual. Everything I wanted to know was always willing to talk, and that's important.","The participant calls for a return to community and face-to-face interaction, yet their own stated behaviour turns to AI for conversation and connection rather than the human community they say they value."
