participant_id,transcript_id,question_ref,tag,severity,sentiment,quote,source_line_start,source_line_end,consolidated_tag
1,en_participant_0001,Q4,Ecological AI Restriction,High,negative,"for personal tasks, I really try to limit my use of AI, because for ecological reasons, I really want to restrict it to professional tasks. Even at a professional level, I always try to think if I can do it another way. So, for personal tasks, my use is very, very limited, if not nonexistent.",12,12,Environmental Impact Concerns
1,en_participant_0001,Q4,AI Energy Cost Awareness,High,negative,"using generative AI, for example, to do a search, consumes much more energy, water, and electricity than doing a search on Google. It's really something I'm aware of, and it's for these reasons that I really try to limit my use of AI to the bare minimum.",15,15,Environmental Impact Concerns
1,en_participant_0001,Q4,Ecological Avoidance Vacation,Medium,mixed,"I know it could save me time, but again, for the reasons I mentioned, I prefer not to do it.",18,18,Environmental Impact Concerns
1,en_participant_0001,Q5,Mobile AI Access Gap,Medium,neutral,"since I haven't downloaded ChatGPT or another AI application on my phone, my use is really limited to when I'm at home in front of my computer. So, all the situations where I could potentially use it on the go, but in any case, since I don't have the application, I don't do it.",22,22,Tool Reliability And Limitations
1,en_participant_0001,Q5,Self-Sufficient Alternative Finding,Medium,neutral,I always have a solution. I haven't had a situation where I needed it excessively. I always manage to do as before and find an alternative solution to meet my needs.,25,25,Usage And Adoption Patterns
1,en_participant_0001,Q8,Specialised Professional Assistants,High,positive,"Ideally, I would even have several assistants, each with a specific specialty, who could help me in my freelance activity on a daily basis. For example, an assistant who would manage all the administrative part, paperwork, sending invoices, an assistant who would help me with everything related to content strategy, helping me write content, especially on LinkedIn, and then an assistant who would have more of a sales role and would help me with all the prospecting and potential client outreach.",35,35,Professional Workflow Support
1,en_participant_0001,Q8,LinkedIn Content Creation Need,Medium,positive,"The content strategy assistant would actually help me with everything related to content creation, so mainly for me on LinkedIn, to help me write quality posts without it taking too much time.",38,38,Content And Writing Support
1,en_participant_0001,Q8,Invoice Admin Automation,Medium,positive,"This assistant would be more in a context where I have a lot of invoices to send. It would really help me with sending invoices, follow-ups if invoices are not paid on time, and all the administrative part related to services, with all the tasks to manage.",41,41,Voice Interaction Experience
1,en_participant_0001,Q9,Email Sequence Automation Interest,Medium,positive,"maybe it could help me create email sequences more easily, instead of managing all that manually today. There would certainly be things that could be automated without needing, for example, to subscribe to a tool for all this CRM email sending part.",45,45,Email Management
1,en_participant_0001,Q11,Written Format Preference,Medium,positive,"the fact that the questions are written, in the end, I find it less disturbing than the tool tested just before where it is really a conversation. I am more comfortable with the fact that here, the questions and follow-ups are done in writing.",55,55,Usage And Adoption Patterns
1,en_participant_0001,Q11,AI Voice Skepticism,High,mixed,"I'm a bit more skeptical when AI takes the form of voice notes versus the written side. I think it's important to remember that we're talking to a machine, and for those reasons, I find it more fluid for me to interact this way.",58,58,Voice Interaction Experience
1,en_participant_0001,Q11,Machine Transparency Preference,High,neutral,"the fact that exchanges are written, certainly, it's less human, but at least, there you go, it doesn't make the person in front maybe believe that they are interacting with a real human being. It really puts it in its rightful place, I think.",61,61,Usage And Adoption Patterns
10,en_participant_0010,Q4,Information Seeking Over Search,Medium,neutral,"I often use it in place of Google to learn about various topics, anything from growing a vegetable garden to places to travel for our next holiday.",16,16,Search And Research
10,en_participant_0010,Q4,Travel Planning Assistance,High,positive,"I use it for top sites to see, helping me decide between different activities based on the needs of multiple people in the family group. It also helps me as a budget calculator.",20,20,Travel Planning
10,en_participant_0010,Q4,Gardening Project Planning,High,neutral,"I'm looking to find out about the best placement, what kind of soil I need to have, and how I can kick off the project with the most success possible.",24,24,Home And DIY Support
10,en_participant_0010,Q5,Diagram Generation Frustration,High,negative,"I wanted to use it to help mock up the area that I had planned by just putting in points and hoping that it would draw a good diagram for me. However, it ended up being quite a lot of effort, and while it was close, it wasn't ideal.",29,29,Usage And Adoption Patterns
10,en_participant_0010,Q5,Dimension Accuracy Limitations,High,negative,The dimensions just weren't close enough. It was doing some funny things because our lawn isn't a straightforward shape.,33,33,Accuracy And Hallucination Risk
10,en_participant_0010,Q6,Moderate Trust In AI,High,neutral,3 - Moderate trust,38,38,Trust And Verification
10,en_participant_0010,Q8,Email Information Filtering,High,positive,"the most amazing AI personal assistant would be in my inbox helping me to filter information. It would distinguish between what I really need to know and what is nice to know, identifying jobs to be done, key dates, and anything related to financials all in one place, including the last possible date I need to pay something.",47,47,Email Management
10,en_participant_0010,Q8,Email Overload Problem,High,negative,"There are just too many emails and too much information around kids' sports and school newsletters as well, so it would be great to pull out what's really useful for me.",47,47,Email Management
10,en_participant_0010,Q8,Financial Tracking Need,High,neutral,"I want to track what payments are coming out and what has been received from all of those automated emails. Over time, it would be helpful to share data about my finances, showing where the spikes are in terms of what I'm paying and for what, and serving that information back to me.",51,51,Financial Planning And Analysis
10,en_participant_0010,Q8,Kids Activity Scheduling,High,neutral,"it's really about scheduling around what is coming up. This might look like having a month view, fortnight view, week view, and day view, to be as organized as possible.",51,51,Calendar And Scheduling
10,en_participant_0010,Q8,Supermarket Integration Vision,Medium,positive,having a supermarket list that automatically integrates with your local supermarket and what you need to buy. Then you could choose to press a button and ask the supermarket to have it ready for pickup at a specific time.,55,55,Data And System Integration
10,en_participant_0010,Q9,Family Coordination Via AI,High,positive,"It would enable my partner and me to be on the same page and help our children become more independent as they get older, as well as manage what's happening for them.",64,64,Task Organization And Prioritization
10,en_participant_0010,Q11,Need For Human Context,High,mixed,"I felt okay about being interviewed by a person that's not a human, but I also know who the study is being run by, which probably isn't a true reflection of how I would feel if I were receiving this from nobody. Even if it's coming from AI, I know that there is always a person behind the study.",74,74,Memory And Context Continuity
10,en_participant_0010,Q11,Humanization Of AI Interface,High,neutral,Perhaps a small video introduction from that person first or some kind of human interaction would be good.,74,74,Usage And Adoption Patterns
