original_tag,consolidated_tag,original_count,notes
3D Model Visualization Gap,Coding And Technical Support,1,
ADHD Executive Function Gap,Tool Reliability And Limitations,1,
AI Aggregator Not Creator,Usage And Adoption Patterns,1,
AI Appropriate For Specific Tasks,Usage And Adoption Patterns,1,
AI As Bullshitting Machine,Usage And Adoption Patterns,1,
AI As Excel Shortcut,Usage And Adoption Patterns,1,
AI As Interaction Hub,Interaction Dynamics,1,
AI As Motivational Support,Emotional Support And Reflection,1,
AI As Personal Companion,Usage And Adoption Patterns,1,
AI As Pre-Filter,Usage And Adoption Patterns,1,
AI As Reference Tool,Search And Research,1,
AI As Search Replacement,Search And Research,2,
AI As Shortcuts Only,Usage And Adoption Patterns,1,
AI Authenticity Challenge,Human Connection And Rapport,1,
AI Availability Advantage,Access And Adoption,1,
AI Availability And Reliability,Access And Adoption,1,
AI Bias As Existential Threat,Ethics And Bias Concerns,1,
AI Calendar Integration Caution,Calendar And Scheduling,1,
AI Capability Paradox,Tool Reliability And Limitations,1,
AI Capability Uncertainty,Tool Reliability And Limitations,1,
AI Color Selection Success,Usage And Adoption Patterns,1,
AI Complexity Recognition,Usage And Adoption Patterns,1,
AI Design Limitations,Creative Design And Media,1,
AI Duplicate Error Problem,Accuracy And Hallucination Risk,1,
AI Dynamic Follow-Up Value,Proactive Assistance,1,
AI Elicits Greater Truthfulness,Trust And Verification,1,
AI Email Event Coordination,Email Management,1,
AI Energy Cost Awareness,Environmental Impact Concerns,1,
AI Factuality Preference,Accuracy And Hallucination Risk,1,
AI Follow-Up Quality,Proactive Assistance,1,
AI For Accounting Needs,Financial Planning And Analysis,1,
AI For Content Curation,Content And Writing Support,1,
AI For Creative Marketing,Creative Design And Media,1,
AI For Creative Pattern Design,Creative Design And Media,1,
AI For Presentation Design,Creative Design And Media,1,
AI For Product Research,Search And Research,1,
AI For Research And Analysis,Search And Research,1,
AI For Resume Building,Content And Writing Support,1,
AI Human Connection Preservation,Human Connection And Rapport,1,
AI Ignore User Constraints,Tool Reliability And Limitations,1,
AI Impartiality Appreciation,Ethics And Bias Concerns,1,
AI Information Gap,Tool Reliability And Limitations,1,
AI Information Verification Concern,Accuracy And Hallucination Risk,1,
AI Integration Efficiency Value,Data And System Integration,1,
AI Interaction Soul Draining,Interaction Dynamics,1,
AI Interview Clarity,AI Interview Experience,1,
AI Interview Comfort,AI Interview Experience,1,
AI Interview Competence,AI Interview Experience,1,
AI Interview Conversational Gap,AI Interview Experience,1,
AI Interview Distance Perception,AI Interview Experience,1,
AI Interview Effectiveness,AI Interview Experience,1,
AI Interview Execution Clarity,AI Interview Experience,1,
AI Interview Experience,AI Interview Experience,1,
AI Interview Experience Flatness,AI Interview Experience,1,
AI Interview Felt Natural,AI Interview Experience,1,
AI Interview Frustration,AI Interview Experience,1,
AI Interview Limitations,AI Interview Experience,1,
AI Interview Neutrality,AI Interview Experience,1,
AI Interview Persistence Problem,AI Interview Experience,1,
AI Interview Scripted Limitation,AI Interview Experience,1,
AI Interview Similarity,AI Interview Experience,1,
AI Interview Speed Advantage,AI Interview Experience,1,
AI Interview Technical Friction,AI Interview Experience,1,
AI Knitting Pattern Limitations,Home And DIY Support,1,
AI Lacks Relational Depth,Usage And Adoption Patterns,1,
AI Life Coach Partnership,Usage And Adoption Patterns,1,
AI Limitations For Deep Interviews,AI Interview Experience,1,
AI Listening Advantage,Interaction Dynamics,1,
AI Listening Preference,Interaction Dynamics,1,
AI Personality Depth Strategy,Strategic AI Perspectives,1,
AI Reliability Concern,Usage And Adoption Patterns,1,
AI Social Collaboration Integration,Data And System Integration,1,
AI Social Group Chatbot,Social And Relationship Communication,1,
AI Summary And Playback Expectation,Usage And Adoption Patterns,1,
AI System Integration For Daily Tasks,Data And System Integration,1,
AI Tier Limitations,Cost And Tier Constraints,1,
AI Tool Selection,Access And Adoption,1,
AI Travel Agent Limitation,Travel Planning,1,
AI Understanding Uncertainty,Tool Reliability And Limitations,1,
AI Usage Scope,Access And Adoption,1,
AI Use Cases Inventory,Usage And Adoption Patterns,1,
AI Voice Skepticism,Voice Interaction Experience,1,
AI Willingness To Engage,Usage And Adoption Patterns,1,
AI Writing Detection,Content And Writing Support,1,
AI Yarn Calculation Error,Home And DIY Support,1,
AI-Powered Search Integration,Search And Research,1,
API Hook Expectation,Coding And Technical Support,1,
Absence Requires No Elaboration,Usage And Adoption Patterns,1,
Accidental AI Discovery,Learning And Discovery,1,
Accounting And Financial Support,Financial Planning And Analysis,1,
Accuracy And Up-To-Date Information,Accuracy And Hallucination Risk,1,
Accuracy As Essential Requirement,Accuracy And Hallucination Risk,1,
Accuracy Defeats Solution Value,Accuracy And Hallucination Risk,1,
Accuracy Primary Requirement,Accuracy And Hallucination Risk,1,
Actionable Tangible Plans,Usage And Adoption Patterns,1,
Adaptive Routine Exception Handling,Usage And Adoption Patterns,1,
Admin And Task Prioritization Need,Task Organization And Prioritization,1,
Admin Assistant Invoice Task,Voice Interaction Experience,1,
Admin Email Assistance,Email Management,1,
Administrative Email Focus,Email Management,1,
Administrative Email Support,Email Management,1,
Aggregation And Planning Desire,Personalization And Adaptation,1,
Airbnb Business Focus,Travel Planning,1,
Algorithm Recommendation Frustration,Shopping And Recommendations,1,
Always On Device Access,Access And Adoption,1,
Ambivalence About AI Future,Strategic AI Perspectives,1,
Answer Confidence Uncertainty,Tool Reliability And Limitations,1,
Appointment Scheduling Burden,Calendar And Scheduling,1,
Appreciation For Impartiality,Ethics And Bias Concerns,1,
Artistic Imagery Curation,Creative Design And Media,1,
Artistic Style References,Creative Design And Media,1,
Async Convenience Preference,Usage And Adoption Patterns,1,
Audio Conversational Immediacy,Voice Interaction Experience,1,
Auditory Preference,Usage And Adoption Patterns,1,
Authenticity Concern,Human Connection And Rapport,1,
Auto Prompt Improvement Need,Prompting And Instruction Quality,1,
Automated Meeting Reports Need,Personalization And Adaptation,1,
Automated Meeting Summaries,Usage And Adoption Patterns,1,
Automated Task Coordination,Task Organization And Prioritization,1,
Automation And Integration,Data And System Integration,1,
Automation As Delegation,Automation And Delegation,1,
Automation Capability Exists,Automation And Delegation,1,
Autonomous Admin Task Delegation,Automation And Delegation,1,
Autonomous Async AI Appeal,Automation And Delegation,1,
Autonomous Event Coordination,Automation And Delegation,1,
Availability Aware Suggestions,Access And Adoption,1,
Banking Security Constraints,Privacy And Security,1,
Behavior Adaptation Over Practices,Personalization And Adaptation,1,
Behavioral Pattern Learning,Learning And Discovery,1,
Bike Fit Computation,Usage And Adoption Patterns,1,
Board Charter Collaboration,Usage And Adoption Patterns,1,
Brain Offload Fantasy,Usage And Adoption Patterns,1,
Brainstorming Interaction Need,Personalization And Adaptation,1,
Breaking Down Overwhelm,Time And Productivity,1,
Brief Personal Introduction,Usage And Adoption Patterns,1,
Broken Product Links,Shopping And Recommendations,1,
Budgeting Tool Value,Financial Planning And Analysis,1,
Business Communication Use Case,Social And Relationship Communication,1,
Business Ideas Generation,Professional Workflow Support,1,
Business Preference,Professional Workflow Support,1,
Calculation Errors,Usage And Adoption Patterns,1,
Calendar Agenda Automation,Calendar And Scheduling,1,
Calendar And Errand Optimization,Calendar And Scheduling,1,
Calendar Availability Detection,Calendar And Scheduling,1,
Calendar Based Predictive Notifications,Calendar And Scheduling,1,
Calendar Control Desire,Calendar And Scheduling,1,
Calendar Integration Dependency,Calendar And Scheduling,1,
Calendar Integration Desire,Calendar And Scheduling,4,
Calendar Integration Preference,Calendar And Scheduling,1,
Calendar Integration Priority,Calendar And Scheduling,1,
Calendar Integration Support,Calendar And Scheduling,1,
Calendar Integration Value,Calendar And Scheduling,1,
Calendar Reminder Integration,Calendar And Scheduling,1,
Calendar Scheduling Assistance,Calendar And Scheduling,1,
Capability Boundary Testing,Usage And Adoption Patterns,1,
Categorical Confidence Preference,Trust And Verification,1,
Cautious Optimism About AI,Usage And Adoption Patterns,1,
ChatGPT As Search Engine,Search And Research,1,
ChatGPT For Complex Task Analysis,Cognitive Support Patterns,1,
ChatGPT Project Context Success,Memory And Context Continuity,1,
ChatGPT Voice Feature Preference,Voice Interaction Experience,1,
Choice Confidence,Trust And Verification,1,
Citation Transparency Preference,Usage And Adoption Patterns,1,
Clean UX Requirement,Usage And Adoption Patterns,1,
Code Generation And Problem Solving,Coding And Technical Support,1,
Coding Assistance,Coding And Technical Support,1,
Cognitive Burden Impact On Family Time,Time And Productivity,1,
Cognitive Load From Juggling,Time And Productivity,1,
Cognitive Overhead Concern,Cognitive Support Patterns,1,
Color Matching Success,Usage And Adoption Patterns,1,
Comfort Without Nonverbal Cues,Human Connection And Rapport,1,
Communication Cost Awareness,Cost And Tier Constraints,1,
Competitive Restrictions Acceptance,Usage And Adoption Patterns,1,
Complex Purchases,Shopping And Recommendations,1,
Compositional Exploration,Learning And Discovery,1,
Comprehensive Life Context Need,Memory And Context Continuity,1,
Comprehensive Life Domain Support,Strategic AI Perspectives,1,
Comprehensive System Integration,Data And System Integration,1,
Computation Task Example,Usage And Adoption Patterns,1,
Concrete Available Options Need,Personalization And Adaptation,1,
Confidence Level Transparency Need,Personalization And Adaptation,1,
Confident Misinformation Risk,Accuracy And Hallucination Risk,1,
Confirmation Bias Self-Awareness,Ethics And Bias Concerns,1,
Conflict Detection Value,Usage And Adoption Patterns,1,
Connected Device Preferences,Smart Home Automation,1,
Consent-Based Data Access,Privacy And Security,1,
Consistency Desire,Personalization And Adaptation,1,
Constant Verification Need,Accuracy And Hallucination Risk,1,
Constraint Limits Exploration,Tool Reliability And Limitations,1,
Contact Management Challenge,Usage And Adoption Patterns,1,
Content Creation Scaffolding,Content And Writing Support,1,
Content Creation Time Pressure,Content And Writing Support,1,
Content Discovery Preference,Content And Writing Support,1,
Content Strategy LinkedIn Assistant,Content And Writing Support,1,
Context Dependent Information Gap,Memory And Context Continuity,1,
Context Is Key Constraint,Memory And Context Continuity,1,
Context Loss Frustration,Memory And Context Continuity,1,
Context Loss With AI Interviewer,AI Interview Experience,1,
Context Overhead Avoidance,Memory And Context Continuity,1,
Context Persistence For Task Chats,Memory And Context Continuity,1,
Context Picking Impressed,Memory And Context Continuity,1,
Context Precision Recognition,Memory And Context Continuity,1,
Context Precision Requirement,Memory And Context Continuity,1,
Context Window Frustration,Memory And Context Continuity,1,
Context-Dependent Tool Assessment,Memory And Context Continuity,1,
Contextual Access Control,Memory And Context Continuity,1,
Contextual Errand Awareness,Memory And Context Continuity,1,
Contextual Life Knowledge Desire,Memory And Context Continuity,1,
Contextual Meal Preference,Recipes And Cooking Support,1,
Contextual Memory Gap,Memory And Context Continuity,1,
Contextual Message Suggestions,Memory And Context Continuity,1,
Contextual Recommendations,Shopping And Recommendations,1,
Contextual Reminder Pattern,Calendar And Scheduling,1,
Contextual Reminder Value,Calendar And Scheduling,1,
Contextual Shopping Integration,Shopping And Recommendations,1,
Contextual Understanding,Memory And Context Continuity,1,
Conversational Flow Importance,Interaction Dynamics,1,
Conversational Learning Preference,Learning And Discovery,1,
Conversational Tool Usage,Interaction Dynamics,1,
Copy-Paste Data Transfer Burden,Time And Productivity,1,
Correcting AI Misinterpretation,Usage And Adoption Patterns,1,
Creative Image Generation,Creative Design And Media,1,
